Data Registo;Data Jogo;Competicao;Casa;Fora;Expected Golos Casa;Expected Golos Fora;Expected Golos Total;Probabilidade Over 2.5;Odd Over 2.5;Odd Justa;EV PCT;Golos Casa Reais;Golos Fora Reais;Golos Totais Reais;Over 2.5 Real;Resultado;
05/09/2026 11:33;05/09/2026 14:30;PPL;CF Estrela;Famalicão;1.274;1.213;2.487;0.452807;2.10;2.21;-4.91;2;2;4;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 17:00;PPL;Alverca;Braga;1.136;1.603;2.739;0.515969;2.00;1.94;3.19;1;2;3;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 17:00;PPL;CS Maritimo;Benfica;1.077;1.888;2.965;0.568991;1.38;1.76;-21.48;0;3;3;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 19:30;PPL;Sporting Lisbon;Nacional;2.231;0.832;3.063;0.590718;1.35;1.69;-20.25;2;0;2;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 11:30;PL;Newcastle United;Bournemouth;1.565;1.305;2.869;0.546862;1.45;1.83;-20.71;2;2;4;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 14:00;PL;Brentford;Sunderland;1.697;1.013;2.710;0.508708;1.71;1.97;-13.01;1;1;2;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 14:00;PL;Brighton and Hove Albion;Leeds United;1.668;1.062;2.730;0.513801;1.66;1.95;-14.71;1;1;2;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 14:00;PL;Manchester City;Coventry City;2.261;0.687;2.948;0.565078;1.33;1.77;-24.84;1;0;1;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 14:00;PL;Fulham;Crystal Palace;1.718;1.007;2.725;0.512433;1.82;1.95;-6.74;2;3;5;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 14:00;PL;Nottingham Forest;Tottenham Hotspur;1.675;0.952;2.626;0.488132;1.72;2.05;-16.04;0;0;0;NAO;CORRETO;
05/09/2026 11:33;05/09/2026 16:30;PL;Hull City;Aston Villa;1.861;0.854;2.715;0.510084;1.82;1.96;-7.16;0;0;0;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 14:15;PD;Athletic Bilbao;Atlético Madrid;1.309;1.530;2.839;0.539802;1.80;1.85;-2.84;3;0;3;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 16:30;PD;Rayo Vallecano;Real Racing Club de Santander;1.576;1.094;2.671;0.499161;1.62;2.00;-19.14;3;2;5;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 19:00;PD;Villarreal;Deportivo La Coruña;1.763;1.141;2.904;0.555005;1.60;1.80;-11.20;2;3;5;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 13:00;SA;Fiorentina;Torino;1.195;1.274;2.470;0.448360;1.85;2.23;-17.05;1;2;3;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 16:00;SA;Inter Milan;Napoli;1.560;1.085;2.645;0.492788;1.82;2.03;-10.31;3;2;5;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 18:45;SA;AS Roma;Atalanta BC;1.638;0.883;2.520;0.461385;1.64;2.17;-24.33;2;1;3;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 13:30;BL1;Bayer Leverkusen;Union Berlin;2.180;1.237;3.417;0.663429;1.39;1.51;-7.78;4;0;4;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 13:30;BL1;TSG Hoffenheim;Borussia Dortmund;1.530;1.617;3.147;0.608887;1.44;1.64;-12.32;2;3;5;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 13:30;BL1;Borussia Monchengladbach;Elversberg;1.740;1.450;3.190;0.618050;1.42;1.62;-12.24;3;4;7;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 13:30;BL1;Werder Bremen;RB Leipzig;1.375;1.797;3.172;0.614300;1.40;1.63;-14.00;3;1;4;SIM;CORRETO;
05/09/2026 11:33;05/09/2026 13:30;BL1;SC Paderborn;SC Freiburg;1.821;1.281;3.102;0.599322;1.53;1.67;-8.30;0;1;1;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 16:30;BL1;FC Schalke 04;Bayern Munich;1.296;2.348;3.644;0.705022;1.21;1.42;-14.69;0;0;0;NAO;ERRADO;
05/09/2026 11:33;05/09/2026 15:15;FL1;RC Lens;Lorient;1.843;1.116;2.959;0.567482;1.56;1.76;-11.47;0;1;1;NAO;ERRADO - DÚVIDA;
05/09/2026 11:33;05/09/2026 18:45;FL1;Le Havre;Brest;1.449;1.184;2.633;0.489915;1.93;2.04;-5.45;1;2;3;SIM;ERRADO;
05/09/2026 11:33;05/09/2026 18:45;FL1;Nice;Le Mans FC;1.303;1.532;2.835;0.538882;1.72;1.86;-7.31;1;1;2;NAO;ERRADO - DÚVIDA;
2026-09-05 19:00;2026-09-06 14:30;PPL;Santa Clara;Rio Ave FC;1.523;0.903;2.426;0.437099;2.07;2.29;-9.52;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 17:00;PPL;Vitória SC;Casa Pia;1.666;0.759;2.425;0.436867;1.71;2.29;-25.30;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 19:30;PPL;Gil Vicente;Académico de Viseu;1.710;0.983;2.692;0.504489;1.93;1.98;-2.63;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 13:00;PL;Everton;Manchester United;1.428;1.411;2.839;0.539736;1.57;1.85;-15.26;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 15:30;PL;Arsenal;Chelsea;2.036;0.883;2.919;0.558350;1.57;1.79;-12.34;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 14:15;PD;Valencia;Barcelona;0.999;1.788;2.787;0.527516;1.36;1.90;-28.26;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 16:30;PD;Alavés;CA Osasuna;1.534;1.017;2.551;0.469272;2.28;2.13;6.99;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 16:30;PD;Málaga;Levante;1.415;1.241;2.656;0.495514;1.85;2.02;-8.33;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 19:00;PD;Espanyol;Sevilla;1.557;1.192;2.749;0.518199;2.25;1.93;16.59;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 13:00;SA;Frosinone;Venezia;1.473;0.829;2.303;0.404660;1.75;2.47;-29.18;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 13:00;SA;Parma;Monza;1.287;1.239;2.525;0.462710;2.23;2.16;3.18;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 16:00;SA;Bologna;Sassuolo;1.138;1.224;2.362;0.420408;1.91;2.38;-19.70;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 18:45;SA;Juventus;AC Milan;1.299;1.019;2.319;0.408924;1.96;2.45;-19.85;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 13:30;BL1;Hamburger SV;FSV Mainz 05;1.528;1.408;2.935;0.562180;1.56;1.78;-12.30;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 15:30;BL1;Eintracht Frankfurt;Augsburg;1.860;1.455;3.315;0.643500;1.44;1.55;-7.34;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 13:00;FL1;Troyes;Strasbourg;1.597;1.152;2.749;0.518336;1.74;1.93;-9.81;;;;;PENDENTE;
2026-09-05 19:00;2026-09-06 18:45;FL1;Marseille;Paris FC;1.522;1.193;2.714;0.509916;1.49;1.96;-24.02;;;;;PENDENTE;
